"Palabra","Palabra.1","Palabra.2","Palabra.3","Palabra.4","Palabra.5","Palabra.6","Palabra.7","Palabra.8","Palabra.9","Palabra.10","Palabra.11","Palabra.12","Palabra.13","Palabra.14","Palabra.15","Palabra.16","Palabra.17","Palabra.18","Palabra.19","Palabra.20"
"Kropotkin, Petr Alekseevich kniaz'","Kropotkin, Petr Alekseevich Kniaz'","","","","","","","","","","","","","","","","","","",""
"Korean Air Lines, Incidente, 1983","Korean Air Lines, incidente, 1983","","","","","","","","","","","","","","","","","","",""
"Kokuritsu Kokkai Toshokan, Tokio","Kokuritsu kokkai toshokan, Tokio","","","","","","","","","","","","","","","","","","",""
"Kentucky, Estados Unidos","Kentucky (Estados Unidos)","","","","","","","","","","","","","","","","","","",""
"Karnataka, India","Karnataka (India)","","","","","","","","","","","","","","","","","","",""
"Kamo, Chômei","Kamo, Chomei","","","","","","","","","","","","","","","","","","",""
"Justicia, Señor de la","Señor de la Justicia","","","","","","","","","","","","","","","","","","",""
"Juegos no cooperativos (Matemáticas)","Juegos, No cooperativos (Matemáticas)","","","","","","","","","","","","","","","","","","",""
"Judíos en China","Judios en China","","","","","","","","","","","","","","","","","","",""
"Judaísmo ortodoxo","Judaismo ortodoxo","","","","","","","","","","","","","","","","","","",""
"Juana Inés de la Cruz, Sor","Juana, Inés de la Cruz, Sor","","","","","","","","","","","","","","","","","","",""
"Joséphine","Josephine","","","","","","","","","","","","","","","","","","",""
"José Agustín","Agustín, José","","","","","","","","","","","","","","","","","","",""
"Ixtapan de la Sal (Estado de México, México)","Ixtapan de la Sal, México (Estado)","","","","","","","","","","","","","","","","","","",""
"Iqbal, Sir Muhammad","Iqbãl, Sir Muhammad","","","","","","","","","","","","","","","","","","",""
"International Trade Organization (Propuesta)","International Trade Organization (propuesta)","","","","","","","","","","","","","","","","","","",""
"Inter-American Institute of Agricultural Sciences","Inter American Institute of Agricultural Sciences","","","","","","","","","","","","","","","","","","",""
"Instrumentos musicales primitivos","Instrumentos musicales primitivos ","","","","","","","","","","","","","","","","","","",""
"Instituto Latinoamericano de Planificación Económica y Social","Instituto Latinoamericano y de Planificación Económica y Social","","","","","","","","","","","","","","","","","","",""
"Indias Occidentales Francesas","Indias Occidentales francesas","","","","","","","","","","","","","","","","","","",""
"Iglesia ortodoxa oriental","Iglesia Ortodoxa Oriental","","","","","","","","","","","","","","","","","","",""
"Iglesia católica en América del Sur","Iglesia Católica en América del Sur","","","","","","","","","","","","","","","","","","",""
"Ibárruri, Dolores","Ibarruri, Dolores","","","","","","","","","","","","","","","","","","",""
"Hurtado Cruchaga, Alberto","Hurtado Cruchaga, Alberto,","","","","","","","","","","","","","","","","","","",""
"Hizballah (Líbano)","Hizballah (Libano)","","","","","","","","","","","","","","","","","","",""
"Hitler, Adolfo","Adolfo Hitler","","","","","","","","","","","","","","","","","","",""
"Hitita (Idioma)","Hitita [Idioma]","","","","","","","","","","","","","","","","","","",""
"Hispanoamericanos en Los Angeles, Estados Unidos","Hispanoaméricanos en Los Angeles, Estados Unidos","","","","","","","","","","","","","","","","","","",""
"Hernández Catá, Alfonso","Hernández Cata, Alfonso","","","","","","","","","","","","","","","","","","",""
"Heredia, José María de","Heredia, José María De","","","","","","","","","","","","","","","","","","",""
"Gupta, Dinastía","Dinastía Gupta","","","","","","","","","","","","","","","","","","",""
"Gunten, Roger von","Gunten, von Roger","","","","","","","","","","","","","","","","","","",""
"Guido, Beatriz","Guido, Beatríz","","","","","","","","","","","","","","","","","","",""
"Guerra sudafricana, 1899-1902","Guerra Sudafricana, 1899-1902","","","","","","","","","","","","","","","","","","",""
"Guerra de la Vendée, 1793-1800","Vendée, Guerra de la, 1793-1800","","","","","","","","","","","","","","","","","","",""
"Guerra Iraq-Irán, 1980-1988","Guerra Irán-Iraq, 1980-1988","","","","","","","","","","","","","","","","","","",""
"Guaymas, Sonora","Guaymas (Sonora)","","","","","","","","","","","","","","","","","","",""
"Granada (España : Reino)","Granada, España (Reino)","","","","","","","","","","","","","","","","","","",""
"Gerona, España","Gerona (España)","","","","","","","","","","","","","","","","","","",""
"Garibay K., Angel María$$qGaribay Kintana","Garibay K., Angel María$$q(Garibay Kintana)","","","","","","","","","","","","","","","","","","",""
"Garantías (Derecho)","Garantias (Derecho)","","","","","","","","","","","","","","","","","","",""
"Galés","Gales","","","","","","","","","","","","","","","","","","",""
"Fátima, Nuestra Señora de","Fátima, nuestra señora de","","","","","","","","","","","","","","","","","","",""
"Fábulas latinas","Fabulas latinas","","","","","","","","","","","","","","","","","","",""
"Frente de Libertação de Mocambique","Frente de Libertação de Moçambique","","","","","","","","","","","","","","","","","","",""
"Fortaleza, Brasil","Fortaleza (Brasil)","","","","","","","","","","","","","","","","","","",""
"Filósofos americanos","Filosofos americanos","","","","","","","","","","","","","","","","","","",""
"Ferrocarril Mexicano","Ferrocarril mexicano","","","","","","","","","","","","","","","","","","",""
"Excelsior (Periódico), México","Excélsior (Periódico) México","","","","","","","","","","","","","","","","","","",""
"European Union","European Union.","","","","","","","","","","","","","","","","","","",""
"Estados Unidos Relaciones exteriores","Estados Unidos- Relaciones exteriores","","","","","","","","","","","","","","","","","","",""
"Español en el Area del Caribe","Español en El Area del Caribe","","","","","","","","","","","","","","","","","","",""
"Dzibilchaltun, Yucatán","Dzibilchaltún, Yucatán","","","","","","","","","","","","","","","","","","",""
"Documentation, Services de","Services de documentation","","","","","","","","","","","","","","","","","","",""
"Directores y productores de teatro","Productores y directores de teatro","","","","","","","","","","","","","","","","","","",""
"Demóstenes","Démosténes","","","","","","","","","","","","","","","","","","",""
"Damasco (Siria)","Damasco, Siria","","","","","","","","","","","","","","","","","","",""
"Cíbola","Cibola","","","","","","","","","","","","","","","","","","",""
"Cuestión armenia","Cuestión Armenia","","","","","","","","","","","","","","","","","","",""
"Cuestionarios oficiales","Cuestionarios Oficiales","","","","","","","","","","","","","","","","","","",""
"Cuentas nacionales","Cuentas Nacionales","","","","","","","","","","","","","","","","","","",""
"Corporaciones europeas","Corporaciones Europeas","","","","","","","","","","","","","","","","","","",""
"Cooperacion Económica Asia Pacífico (Organización)","Cooperación Económica Asia Pacífico (Organización)","","","","","","","","","","","","","","","","","","",""
"Convention on the Elimination of All Forms of Discrimination against Women","Convention on the Elimination of All Forms of Discrimination Against Women","","","","","","","","","","","","","","","","","","",""
"Conservative Party, Gran Bretaña","Conservative Party (Gran Bretaña)","","","","","","","","","","","","","","","","","","",""
"Congress of Industrial Organizations","Congress of industrial organizations","","","","","","","","","","","","","","","","","","",""
"Conflicto India-Pakistán, 1971","Conflicto India-Pakistán, 1971-****","","","","","","","","","","","","","","","","","","",""
"Conferencias internacionales americanas","Conferencias Internacionales Americanas","","","","","","","","","","","","","","","","","","",""
"Conferencia asiático-africana","Conferencia Asiático-Africana","","","","","","","","","","","","","","","","","","",""
"Concilio Vaticano$$n2","Concilio Vaticano$$n(2","","","","","","","","","","","","","","","","","","",""
"Conciertos (Violín con orquesta de cuerdas)","Conciertos (Violín con orquesta de cuerdas","","","","","","","","","","","","","","","","","","",""
"Compañías telefónicas","Companias telefónicas","","","","","","","","","","","","","","","","","","",""
"Compañía Real del Monte y Pachuca","Compañia Real del Monte y Pachuca","","","","","","","","","","","","","","","","","","",""
"Comitán de Domínguez, Chiapas","Comitán de Dominguéz, Chiapas","","","","","","","","","","","","","","","","","","",""
"Comerciantes judíos","Comerciantes judios","","","","","","","","","","","","","","","","","","",""
"Cobá, Quintana Roo","Coba, Quintana Roo","","","","","","","","","","","","","","","","","","",""
"Climatología agrícola","Climatología agricola","","","","","","","","","","","","","","","","","","",""
"Civilización moderna, 1950-","Civilización moderna, 1950-****","","","","","","","","","","","","","","","","","","",""
"Científicos americanos","Cientificos americanos","","","","","","","","","","","","","","","","","","",""
"Ciencias sociales y ética","Ciencias Sociales y ética","","","","","","","","","","","","","","","","","","",""
"Chichén-Itzá (México : Sitio arqueológico)","Chichén Itzá (México : Sitio arqueológico)","","","","","","","","","","","","","","","","","","",""
"Chamula (Chiapas, México)","Chamula (Chiapas : México)","","","","","","","","","","","","","","","","","","",""
"Champlain, Samuel de","Champlaín, Samuel de","","","","","","","","","","","","","","","","","","",""
"Centro de Investigaciones y Estudios Superiores en Antropología Social (México)","Centro de Investigaciones y Estudios Superiores en Antropología Social, México","","","","","","","","","","","","","","","","","","",""
"Centro Histórico de la Ciudad de México (México)","Centro Histórico de la Ciudad de México","","","","","","","","","","","","","","","","","","",""
"Catálogos","Catálogos.","","","","","","","","","","","","","","","","","","",""
"Castañón, Adolfo","Castañon, Adolfo","","","","","","","","","","","","","","","","","","",""
"Caso Watergate, 1972-1974","Watergate (Caso), 1972-1974","","","","","","","","","","","","","","","","","","",""
"Cartago, Costa Rica","Cartago (Costa Rica)","","","","","","","","","","","","","","","","","","",""
"Carmelitas Descalzos","Carmelitas descalzos","","","","","","","","","","","","","","","","","","",""
"Calcuta, India","Calcuta (India)","","","","","","","","","","","","","","","","","","",""
"Cabo de Buena Esperanza","Buena Esperanza, Cabo de","","","","","","","","","","","","","","","","","","",""
"COBOL","Cobol","","","","","","","","","","","","","","","","","","",""
"Briceño-Iragorry, Mario","Briceño Iragorry, Mario","","","","","","","","","","","","","","","","","","",""
"Borgoña, Francia","Borgoña (Francia)","","","","","","","","","","","","","","","","","","",""
"Blanqui, Louis Auguste","Blanquí, Louis Auguste","","","","","","","","","","","","","","","","","","",""
"Bible","Bible.","","","","","","","","","","","","","","","","","","",""
"Benedetto, Antonio di","Di Benedetto, Antonio","","","","","","","","","","","","","","","","","","",""
"Belaunde Terry, Fernando","Belaúnde Terry, Fernando","","","","","","","","","","","","","","","","","","",""
"Bataille, Georges","Bataille, Géorges","","","","","","","","","","","","","","","","","","",""
